query_name	consensus
F4/F4_split19.sparql	102
F4/F4_split2.sparql	309
F4/F4_split3.sparql	296
F4/F4_split4.sparql	276
F4/F4_split5.sparql	103
F4/F4_split6.sparql	173
F4/F4_split7.sparql	402
F4/F4_split8.sparql	287
F4/F4_split9.sparql	393
F5/F5_split0.sparql	34
F5/F5_split1.sparql	15
F5/F5_split10.sparql	29
F5/F5_split11.sparql	41
F5/F5_split12.sparql	39
F5/F5_split13.sparql	41
F5/F5_split14.sparql	41
F5/F5_split15.sparql	55
F5/F5_split16.sparql	30
F5/F5_split17.sparql	24
F5/F5_split18.sparql	31
F5/F5_split19.sparql	50
F5/F5_split2.sparql	52
F5/F5_split3.sparql	19
F5/F5_split4.sparql	55
F5/F5_split5.sparql	38
F5/F5_split6.sparql	52
F5/F5_split7.sparql	31
F5/F5_split8.sparql	35
F5/F5_split9.sparql	49
L1/L1_split0.sparql	3
L1/L1_split1.sparql	1
L1/L1_split10.sparql	7
L1/L1_split11.sparql	5
L1/L1_split12.sparql	2
L1/L1_split13.sparql	2
L1/L1_split14.sparql	3
L1/L1_split15.sparql	4
L1/L1_split16.sparql	3
L1/L1_split17.sparql	3
L1/L1_split18.sparql	0
L1/L1_split19.sparql	2
L1/L1_split2.sparql	9
L1/L1_split3.sparql	0
L1/L1_split4.sparql	1
L1/L1_split5.sparql	7
L1/L1_split6.sparql	1
L1/L1_split7.sparql	4
L1/L1_split8.sparql	5
L1/L1_split9.sparql	5
L2/L2_split0.sparql	106
L2/L2_split1.sparql	323
L2/L2_split10.sparql	1906
L2/L2_split11.sparql	78
L2/L2_split12.sparql	158
L2/L2_split13.sparql	961
L2/L2_split14.sparql	1906
L2/L2_split15.sparql	1906
L2/L2_split16.sparql	1906
L2/L2_split17.sparql	961
L2/L2_split18.sparql	1906
L2/L2_split19.sparql	323
L2/L2_split2.sparql	961
L2/L2_split3.sparql	1906
L2/L2_split4.sparql	323
L2/L2_split5.sparql	961
L2/L2_split6.sparql	1906
L2/L2_split7.sparql	78
L2/L2_split8.sparql	118
L2/L2_split9.sparql	1906
L3/L3_split0.sparql	18
L3/L3_split1.sparql	23
L3/L3_split10.sparql	28
L3/L3_split11.sparql	57
L3/L3_split12.sparql	20
L3/L3_split13.sparql	31
L3/L3_split14.sparql	32
L3/L3_split15.sparql	29
L3/L3_split16.sparql	10
L3/L3_split17.sparql	16
L3/L3_split18.sparql	57
L3/L3_split19.sparql	29
L3/L3_split2.sparql	77
L3/L3_split3.sparql	53
L3/L3_split4.sparql	53
L3/L3_split5.sparql	42
L3/L3_split6.sparql	27
L3/L3_split7.sparql	37
L3/L3_split8.sparql	31
L3/L3_split9.sparql	34
L4/L4_split0.sparql	604
L4/L4_split1.sparql	569
L4/L4_split10.sparql	590
L4/L4_split11.sparql	578
L4/L4_split12.sparql	557
L4/L4_split13.sparql	593
L4/L4_split14.sparql	647
L4/L4_split15.sparql	604
L4/L4_split16.sparql	565
L4/L4_split17.sparql	593
L4/L4_split18.sparql	628
L4/L4_split19.sparql	569
L4/L4_split2.sparql	560
L4/L4_split3.sparql	643
L4/L4_split4.sparql	541
L4/L4_split5.sparql	616
L4/L4_split6.sparql	628
L4/L4_split7.sparql	571
L4/L4_split8.sparql	618
L4/L4_split9.sparql	569
L5/L5_split0.sparql	2681
L5/L5_split1.sparql	2681
L5/L5_split10.sparql	2681
L5/L5_split11.sparql	102
L5/L5_split12.sparql	2681
L5/L5_split13.sparql	319
L5/L5_split14.sparql	319
L5/L5_split15.sparql	2681
L5/L5_split16.sparql	1310
L5/L5_split17.sparql	2681
L5/L5_split18.sparql	1310
L5/L5_split19.sparql	2681
L5/L5_split2.sparql	102
L5/L5_split3.sparql	843
L5/L5_split4.sparql	2681
L5/L5_split5.sparql	2681
L5/L5_split6.sparql	1310
L5/L5_split7.sparql	184
L5/L5_split8.sparql	2681
L5/L5_split9.sparql	2681
S1/S1_split0.sparql	0
S1/S1_split1.sparql	0
S1/S1_split10.sparql	23
S1/S1_split11.sparql	0
S1/S1_split12.sparql	5
S1/S1_split13.sparql	0
S1/S1_split14.sparql	12
S1/S1_split15.sparql	0
S1/S1_split16.sparql	12
S1/S1_split17.sparql	0
S1/S1_split18.sparql	9
S1/S1_split19.sparql	12
S1/S1_split2.sparql	0
S1/S1_split3.sparql	0
S1/S1_split4.sparql	6
S1/S1_split5.sparql	5
S1/S1_split6.sparql	0
S1/S1_split7.sparql	4
S1/S1_split8.sparql	5
S1/S1_split9.sparql	4
S2/S2_split0.sparql	249
S2/S2_split1.sparql	346
S2/S2_split10.sparql	431
S2/S2_split11.sparql	113
S2/S2_split12.sparql	431
S2/S2_split13.sparql	519
S2/S2_split14.sparql	109
S2/S2_split15.sparql	170
S2/S2_split16.sparql	129
S2/S2_split17.sparql	309
S2/S2_split18.sparql	195
S2/S2_split19.sparql	626
S2/S2_split2.sparql	114
S2/S2_split3.sparql	161
S2/S2_split4.sparql	106
S2/S2_split5.sparql	1313
S2/S2_split6.sparql	346
S2/S2_split7.sparql	113
S2/S2_split8.sparql	132
S2/S2_split9.sparql	109
S3/S3_split0.sparql	0
S3/S3_split1.sparql	0
S3/S3_split10.sparql	0
S3/S3_split11.sparql	0
S3/S3_split12.sparql	0
S3/S3_split13.sparql	0
S3/S3_split14.sparql	0
S3/S3_split15.sparql	0
S3/S3_split16.sparql	0
S3/S3_split17.sparql	3189
S3/S3_split18.sparql	0
S3/S3_split19.sparql	0
S3/S3_split2.sparql	0
S3/S3_split3.sparql	0
S3/S3_split4.sparql	0
S3/S3_split5.sparql	0
S3/S3_split6.sparql	0
S3/S3_split7.sparql	0
S3/S3_split8.sparql	0
S3/S3_split9.sparql	0
S4/S4_split0.sparql	30
S4/S4_split1.sparql	10
S4/S4_split10.sparql	0
S4/S4_split11.sparql	0
S4/S4_split12.sparql	0
S4/S4_split13.sparql	30
S4/S4_split14.sparql	0
S4/S4_split15.sparql	2
S4/S4_split16.sparql	2
S4/S4_split17.sparql	0
S4/S4_split18.sparql	10
S4/S4_split19.sparql	10
S4/S4_split2.sparql	0
S4/S4_split3.sparql	2
S4/S4_split4.sparql	34
S4/S4_split5.sparql	0
S4/S4_split6.sparql	0
S4/S4_split7.sparql	0
S4/S4_split8.sparql	34
S4/S4_split9.sparql	0
S5/S5_split0.sparql	0
S5/S5_split1.sparql	0
S5/S5_split10.sparql	0
S5/S5_split11.sparql	0
S5/S5_split12.sparql	0
S5/S5_split13.sparql	0
S5/S5_split14.sparql	0
S5/S5_split15.sparql	0
S5/S5_split16.sparql	0
S5/S5_split17.sparql	0
S5/S5_split18.sparql	0
S5/S5_split19.sparql	0
S5/S5_split2.sparql	0
S5/S5_split3.sparql	0
S5/S5_split4.sparql	0
S5/S5_split5.sparql	0
S5/S5_split6.sparql	0
S5/S5_split7.sparql	341
S5/S5_split8.sparql	0
S5/S5_split9.sparql	0
S6/S6_split0.sparql	71
S6/S6_split1.sparql	68
S6/S6_split10.sparql	72
S6/S6_split11.sparql	112
S6/S6_split12.sparql	59
S6/S6_split13.sparql	155
S6/S6_split14.sparql	9
S6/S6_split15.sparql	45
S6/S6_split16.sparql	3
S6/S6_split17.sparql	152
S6/S6_split18.sparql	7
S6/S6_split19.sparql	11
S6/S6_split2.sparql	159
S6/S6_split3.sparql	1
S6/S6_split4.sparql	10
S6/S6_split5.sparql	48
S6/S6_split6.sparql	10
S6/S6_split7.sparql	5
S6/S6_split8.sparql	72
S6/S6_split9.sparql	38
S7/S7_split0.sparql	0
S7/S7_split1.sparql	1
S7/S7_split10.sparql	2
S7/S7_split11.sparql	0
S7/S7_split12.sparql	2
S7/S7_split13.sparql	0
S7/S7_split14.sparql	0
S7/S7_split15.sparql	0
S7/S7_split16.sparql	0
S7/S7_split17.sparql	1
S7/S7_split18.sparql	0
S7/S7_split19.sparql	0
S7/S7_split2.sparql	0
S7/S7_split3.sparql	0
S7/S7_split4.sparql	0
S7/S7_split5.sparql	1
S7/S7_split6.sparql	0
S7/S7_split7.sparql	0
S7/S7_split8.sparql	1
S7/S7_split9.sparql	0
